Index	Name	1	2	3	4	5	6
1	A0	-1.44	-1.53	-1.44	-1.37
2	A1	-1.55	-1.43	-1.38	-1.47
3	A2	-1.51	-1.54	-1.55	-1.48
4	A3	-1.61	-1.60	-1.60	-1.61
5	A4	-1.57	-1.69	-1.69	-1.70	-1.58	-1.53
6	A6	-1.79	-1.85	-1.86	-1.79
7	A7	-1.88	-1.90	-1.90	-1.87
8	A8	-1.93	-2.09	-2.12	-1.95
9	A9	-2.01	-2.08	-2.06	-1.99
10	A10	-2.00	-2.07	-2.09	-2.02
11	A11	-1.94	-1.96	-1.98	-1.97
12	A12	-2.04	-2.16	-2.20	-2.07
13	A13	-2.09	-2.09	-2.06	-2.05
14	B0	-1.72	-1.65	-1.63	-1.66
15	B1	-1.55	-1.58	-1.58	-1.54
16	B2	-1.64	-1.60	-1.64	-1.67
17	B3	-1.62	-1.60	-1.60	-1.60
18	B4	-1.62	-1.62	-1.60	-1.60
19	B5	-1.67	-1.69	-1.67	-1.64
20	B6	-1.74	-1.76	-1.73	-1.70
21	B7	-1.76	-1.83	-1.83	-1.75
22	B8	-1.86	-1.87	-1.88	-1.86
23	B9	-1.94	-1.95	-1.94	-1.93
24	B10	-2.00	-2.04	-1.99	-1.96
25	B11	-2.12	-2.19	-2.10	-2.02
26	C0	-1.71	-1.74	-1.61	-1.53
27	C1	-1.62	-1.68	-1.67	-1.61
28	C11	-1.72	-1.69	-1.72	-1.74
29	C12	-1.74	-1.72	-1.72	-1.73
30	C13	-1.77	-1.76	-1.75	-1.76
31	C14	-1.79	-1.81	-1.79	-1.75
32	C15	-1.86	-1.84	-1.84	-1.85
33	C16	-1.94	-1.95	-1.94	-1.94
34	C17	-1.96	-1.96	-1.97	-1.97
35	C18	-2.00	-2.02	-2.04	-2.00
36	C19	-2.08	-2.09	-2.12	-2.10
37	C20	-2.11	-2.09	-2.11	-2.13
38	C21	-2.26	-2.36	-2.32	-2.29
39	D0	-1.74	-1.75	-1.63	-1.61
40	D1	-1.71	-1.74	-1.74	-1.69
41	D2	-1.83	-1.81	-1.83	-1.83
42	D3	-1.88	-1.89	-1.85	-1.84
43	D4	-1.88	-1.89	-1.88	-1.88
44	D5	-1.95	-1.96	-1.92	-1.90
45	D6	-1.98	-1.98	-1.98	-1.95
46	D7	-2.06	-2.04	-2.04	-2.04
47	D8	-2.06	-2.09	-2.06	-2.03
48	D9	-2.10	-2.11	-2.11	-2.09
49	D10	-2.19	-2.19	-2.19	-2.19
50	D11	-2.30	-2.30	-2.24	-2.24
51	D12	-2.32	-2.25	-2.23	-2.29
52	D13	-2.34	-2.36	-2.21	-2.19
53	E0	-1.83	-1.89	-1.85	-1.80
54	E1	-1.75	-1.78	-1.80	-1.77
55	E2	-1.82	-1.84	-1.87	-1.85
56	E3	-1.94	-1.93	-1.94	-1.94
57	E4	-1.98	-1.94	-1.97	-2.01
58	E5	-1.97	-1.99	-2.01	-1.98
59	E6	-2.02	-2.03	-2.05	-2.03
60	E7	-2.12	-2.13	-2.12	-2.11
61	E8	-2.15	-2.15	-2.15	-2.15
62	E9	-2.17	-2.18	-2.19	-2.19
63	E10	-2.24	-2.28	-2.26	-2.23
64	E11	-2.36	-2.33	-2.31	-2.33
65	E12	-2.36	-2.35	-2.34	-2.36
66	E13	-2.56	-2.60	-2.47	-2.40
67	F0	-1.86	-1.88	-1.90	-1.86
68	F1	-1.91	-1.93	-1.93	-1.89
69	F2	-2.16	-2.19	-2.15	-2.09
70	F3	-2.02	-2.04	-2.00	-1.98
71	F4	-2.12	-2.16	-2.14	-2.08
72	F5	-2.13	-2.18	-2.17	-2.08
73	F6	-2.28	-2.29	-2.26	-2.23
74	F7	-2.18	-2.24	-2.23	-2.14
75	F8	-2.24	-2.31	-2.29	-2.22
76	F9	-2.46	-2.48	-2.47	-2.41
77	F10	-2.37	-2.37	-2.34	-2.33
78	F11	-2.38	-2.45	-2.41	-2.32
79	F12	-2.52	-2.56	-2.53	-2.47
80	F13	-2.49	-2.51	-2.51	-2.48
81	F14	-2.50	-2.54	-2.57	-2.52
82	F15	-2.53	-2.65	-2.62	-2.52
83	F16	-2.61	-2.59	-2.55	-2.57
